Condition_ID,x1_CeilingHeight,x2_GridModule,x3_OuterFurniture,x4_VisualBoundary,x5_PhysicalBoundary,x6_InnerFurniture
1,2.8,6.5,Strict,Solid,Closed,Strict
2,2.8,6.5,Strict,Solid,Closed,Rotated
3,2.8,6.5,Strict,Solid,Closed,Chaos
4,2.8,6.5,Strict,Solid,Open,Strict
5,2.8,6.5,Strict,Solid,Open,Rotated
6,2.8,6.5,Strict,Solid,Open,Chaos
7,2.8,6.5,Strict,Translucent,Closed,Strict
8,2.8,6.5,Strict,Translucent,Closed,Rotated
9,2.8,6.5,Strict,Translucent,Closed,Chaos
10,2.8,6.5,Strict,Translucent,Open,Strict
11,2.8,6.5,Strict,Translucent,Open,Rotated
12,2.8,6.5,Strict,Translucent,Open,Chaos
13,2.8,6.5,Strict,Color,Closed,Strict
14,2.8,6.5,Strict,Color,Closed,Rotated
15,2.8,6.5,Strict,Color,Closed,Chaos
16,2.8,6.5,Strict,Color,Open,Strict
17,2.8,6.5,Strict,Color,Open,Rotated
18,2.8,6.5,Strict,Color,Open,Chaos
19,2.8,6.5,Rotated,Solid,Closed,Strict
20,2.8,6.5,Rotated,Solid,Closed,Rotated
21,2.8,6.5,Rotated,Solid,Closed,Chaos
22,2.8,6.5,Rotated,Solid,Open,Strict
23,2.8,6.5,Rotated,Solid,Open,Rotated
24,2.8,6.5,Rotated,Solid,Open,Chaos
25,2.8,6.5,Rotated,Translucent,Closed,Strict
26,2.8,6.5,Rotated,Translucent,Closed,Rotated
27,2.8,6.5,Rotated,Translucent,Closed,Chaos
28,2.8,6.5,Rotated,Translucent,Open,Strict
29,2.8,6.5,Rotated,Translucent,Open,Rotated
30,2.8,6.5,Rotated,Translucent,Open,Chaos
31,2.8,6.5,Rotated,Color,Closed,Strict
32,2.8,6.5,Rotated,Color,Closed,Rotated
33,2.8,6.5,Rotated,Color,Closed,Chaos
34,2.8,6.5,Rotated,Color,Open,Strict
35,2.8,6.5,Rotated,Color,Open,Rotated
36,2.8,6.5,Rotated,Color,Open,Chaos
37,2.8,6.5,Chaos,Solid,Closed,Strict
38,2.8,6.5,Chaos,Solid,Closed,Rotated
39,2.8,6.5,Chaos,Solid,Closed,Chaos
40,2.8,6.5,Chaos,Solid,Open,Strict
41,2.8,6.5,Chaos,Solid,Open,Rotated
42,2.8,6.5,Chaos,Solid,Open,Chaos
43,2.8,6.5,Chaos,Translucent,Closed,Strict
44,2.8,6.5,Chaos,Translucent,Closed,Rotated
45,2.8,6.5,Chaos,Translucent,Closed,Chaos
46,2.8,6.5,Chaos,Translucent,Open,Strict
47,2.8,6.5,Chaos,Translucent,Open,Rotated
48,2.8,6.5,Chaos,Translucent,Open,Chaos
49,2.8,6.5,Chaos,Color,Closed,Strict
50,2.8,6.5,Chaos,Color,Closed,Rotated
51,2.8,6.5,Chaos,Color,Closed,Chaos
52,2.8,6.5,Chaos,Color,Open,Strict
53,2.8,6.5,Chaos,Color,Open,Rotated
54,2.8,6.5,Chaos,Color,Open,Chaos
55,2.8,8.0,Strict,Solid,Closed,Strict
56,2.8,8.0,Strict,Solid,Closed,Rotated
57,2.8,8.0,Strict,Solid,Closed,Chaos
58,2.8,8.0,Strict,Solid,Open,Strict
59,2.8,8.0,Strict,Solid,Open,Rotated
60,2.8,8.0,Strict,Solid,Open,Chaos
61,2.8,8.0,Strict,Translucent,Closed,Strict
62,2.8,8.0,Strict,Translucent,Closed,Rotated
63,2.8,8.0,Strict,Translucent,Closed,Chaos
64,2.8,8.0,Strict,Translucent,Open,Strict
65,2.8,8.0,Strict,Translucent,Open,Rotated
66,2.8,8.0,Strict,Translucent,Open,Chaos
67,2.8,8.0,Strict,Color,Closed,Strict
68,2.8,8.0,Strict,Color,Closed,Rotated
69,2.8,8.0,Strict,Color,Closed,Chaos
70,2.8,8.0,Strict,Color,Open,Strict
71,2.8,8.0,Strict,Color,Open,Rotated
72,2.8,8.0,Strict,Color,Open,Chaos
73,2.8,8.0,Rotated,Solid,Closed,Strict
74,2.8,8.0,Rotated,Solid,Closed,Rotated
75,2.8,8.0,Rotated,Solid,Closed,Chaos
76,2.8,8.0,Rotated,Solid,Open,Strict
77,2.8,8.0,Rotated,Solid,Open,Rotated
78,2.8,8.0,Rotated,Solid,Open,Chaos
79,2.8,8.0,Rotated,Translucent,Closed,Strict
80,2.8,8.0,Rotated,Translucent,Closed,Rotated
