iteration,phase,y_value,lambda_t,gamma_t,r_t,n_train,x0,x1,x2,x3,x4,x5
2,warmup,3.6574699216605073,,,,,4.0,6.5,1.0,1.0,0.0,0.0
3,warmup,3.313536524158998,,,,,2.7999999523,8.0,1.0,1.0,1.0,1.0
4,eur,4.748720260764268,,,,3.0,2.7999999523,8.0,2.0,1.0,1.0,0.0
4,eur,3.562732975129065,,,,3.0,2.7999999523,8.0,0.0,0.0,0.0,1.0
5,eur,3.5697019014630316,,,,4.0,8.5,6.5,0.0,1.0,0.0,2.0
6,eur,3.6997145935150564,,,,5.0,4.0,8.0,1.0,2.0,1.0,1.0
7,eur,5.215993867940691,,,,6.0,8.5,6.5,0.0,1.0,1.0,2.0
8,eur,5.500924794495874,,,,7.0,8.5,6.5,2.0,1.0,1.0,2.0
9,eur,2.9585047588908973,,,,8.0,2.7999999523,8.0,1.0,0.0,1.0,1.0
10,eur,4.027771286609327,,,,9.0,4.0,6.5,2.0,0.0,1.0,1.0
11,eur,4.74316842421812,,,,10.0,8.5,6.5,2.0,0.0,0.0,0.0
12,eur,2.2413880897509024,,,,11.0,4.0,6.5,0.0,0.0,0.0,0.0
13,eur,3.9963110021539796,,,,12.0,4.0,6.5,2.0,2.0,1.0,1.0
14,eur,1.2917742211502392,,,,13.0,2.7999999523,6.5,1.0,1.0,0.0,1.0
15,eur,2.8968132928068226,,,,14.0,8.5,6.5,1.0,0.0,0.0,2.0
16,eur,3.1270386555325844,,,,15.0,4.0,6.5,2.0,1.0,1.0,2.0
17,eur,2.110120023037379,,,,16.0,2.7999999523,8.0,0.0,1.0,1.0,0.0
18,eur,3.056970455635104,,,,17.0,2.7999999523,6.5,1.0,0.0,0.0,0.0
19,eur,2.4708214979094776,,,,18.0,2.7999999523,8.0,1.0,0.0,1.0,2.0
20,eur,1.2025261356667112,,,,19.0,2.7999999523,6.5,0.0,1.0,1.0,2.0
21,eur,6.378549599753313,,,,20.0,8.5,8.0,1.0,2.0,0.0,0.0
22,eur,3.2661522820039686,,,,21.0,2.7999999523,6.5,2.0,2.0,0.0,1.0
23,eur,3.3419967509883026,,,,22.0,2.7999999523,8.0,1.0,1.0,0.0,1.0
24,eur,3.9529439442993546,,,,23.0,8.5,8.0,1.0,0.0,0.0,0.0
25,eur,2.8708253354942106,,,,24.0,2.7999999523,6.5,2.0,2.0,0.0,2.0
26,eur,4.085410394076597,,,,25.0,8.5,6.5,0.0,2.0,0.0,1.0
27,eur,1.9137349453848271,,,,26.0,4.0,6.5,0.0,2.0,0.0,0.0
28,eur,3.7392875128691867,,,,27.0,2.7999999523,6.5,2.0,2.0,1.0,1.0
29,eur,2.23750820876252,,,,28.0,4.0,8.0,0.0,1.0,0.0,2.0
30,eur,3.635395865707311,,,,29.0,4.0,6.5,2.0,1.0,1.0,0.0
31,eur,3.0866859562670803,,,,30.0,4.0,8.0,1.0,0.0,0.0,1.0
32,eur,3.9262542020718825,,,,31.0,4.0,6.5,0.0,2.0,0.0,2.0
33,eur,3.8196071873177155,,,,32.0,4.0,8.0,1.0,0.0,1.0,0.0
34,eur,4.235562632387672,,,,33.0,8.5,6.5,2.0,1.0,0.0,1.0
35,eur,5.633359630003172,,,,34.0,8.5,6.5,2.0,2.0,0.0,2.0
36,eur,2.659950437206029,,,,35.0,4.0,6.5,2.0,0.0,0.0,1.0
37,eur,3.9108250158373776,,,,36.0,4.0,8.0,1.0,2.0,0.0,1.0
38,eur,0.9310539903074584,,,,37.0,2.7999999523,8.0,0.0,2.0,0.0,2.0
39,eur,1.622296754567161,,,,38.0,2.7999999523,6.5,1.0,0.0,1.0,2.0
40,eur,5.301583199302942,,,,39.0,8.5,8.0,1.0,1.0,0.0,0.0
41,eur,3.0586192522913516,,,,40.0,2.7999999523,8.0,0.0,1.0,0.0,1.0
42,eur,5.98195367188371,,,,41.0,8.5,8.0,2.0,0.0,0.0,0.0
43,eur,2.4509508082559406,,,,42.0,2.7999999523,6.5,0.0,2.0,1.0,1.0
44,eur,5.628150255128098,,,,43.0,8.5,8.0,2.0,0.0,1.0,0.0
45,eur,1.2615380674170813,,,,44.0,4.0,6.5,0.0,1.0,0.0,2.0
46,eur,5.255720060267924,,,,45.0,8.5,8.0,2.0,1.0,1.0,1.0
47,eur,4.200308172885031,,,,46.0,8.5,6.5,1.0,2.0,1.0,2.0
48,eur,4.063984152931584,,,,47.0,2.7999999523,6.5,2.0,0.0,1.0,1.0
49,eur,5.06458613065143,,,,48.0,8.5,6.5,2.0,0.0,0.0,2.0
50,eur,3.092459080370694,,,,49.0,8.5,8.0,0.0,1.0,1.0,1.0
51,eur,4.5995446564339915,,,,50.0,8.5,8.0,0.0,0.0,1.0,1.0
52,eur,5.003486691763152,,,,51.0,8.5,6.5,2.0,2.0,0.0,0.0
53,eur,3.3287701461911468,,,,52.0,2.7999999523,8.0,2.0,0.0,1.0,2.0
