trial,phase,x,y
1,warmup,"[4.0, 6.5, 0.0, 1.0, 1.0, 1.0]",3.1824698978186494
2,warmup,"[2.799999952316284, 6.5, 0.0, 0.0, 0.0, 1.0]",1.9835364737930732
3,warmup,"[2.799999952316284, 8.0, 2.0, 1.0, 1.0, 1.0]",4.598720260764268
3,main,"[8.5, 8.0, 1.0, 1.0, 0.0, 2.0]",6.022733037117896
4,main,"[8.5, 8.0, 1.0, 0.0, 0.0, 2.0]",4.569701949146748
5,main,"[2.799999952316284, 6.5, 2.0, 2.0, 0.0, 0.0]",3.409714576527732
6,main,"[8.5, 8.0, 2.0, 2.0, 1.0, 1.0]",7.125993968672542
7,main,"[2.799999952316284, 6.5, 0.0, 0.0, 1.0, 2.0]",2.7809247271426254
8,main,"[2.799999952316284, 6.5, 2.0, 1.0, 1.0, 1.0]",2.9885047615731057
9,main,"[4.0, 6.5, 1.0, 0.0, 0.0, 1.0]",3.442771257403051
10,main,"[8.5, 6.5, 1.0, 0.0, 0.0, 1.0]",4.018168400376262
11,main,"[4.0, 6.5, 1.0, 1.0, 1.0, 2.0]",2.7463881162749697
12,main,"[4.0, 8.0, 1.0, 1.0, 1.0, 0.0]",4.116310999471771
13,main,"[4.0, 6.5, 0.0, 2.0, 0.0, 1.0]",1.176774211613496
14,main,"[8.5, 6.5, 2.0, 0.0, 1.0, 2.0]",3.4818133220130982
15,main,"[4.0, 8.0, 0.0, 2.0, 1.0, 1.0]",2.767038602484451
16,main,"[8.5, 6.5, 2.0, 1.0, 0.0, 1.0]",4.270120085026209
17,main,"[4.0, 8.0, 2.0, 2.0, 1.0, 2.0]",4.651970546830211
18,main,"[8.5, 6.5, 0.0, 1.0, 1.0, 2.0]",3.3008214618486678
19,main,"[2.799999952316284, 8.0, 2.0, 2.0, 0.0, 2.0]",2.9525262310341427
20,main,"[2.799999952316284, 8.0, 0.0, 1.0, 0.0, 2.0]",3.468549537764482
21,main,"[2.799999952316284, 6.5, 2.0, 0.0, 0.0, 2.0]",2.9161522820039685
22,main,"[2.799999952316284, 8.0, 0.0, 0.0, 1.0, 1.0]",2.6919967033045866
23,main,"[4.0, 6.5, 2.0, 2.0, 1.0, 2.0]",2.5629439496637723
24,main,"[8.5, 8.0, 0.0, 2.0, 1.0, 1.0]",4.130825302115609
25,main,"[8.5, 8.0, 0.0, 0.0, 0.0, 2.0]",4.035410394076598
26,main,"[2.799999952316284, 8.0, 2.0, 0.0, 1.0, 2.0]",2.9637350318115616
27,main,"[2.799999952316284, 8.0, 0.0, 2.0, 1.0, 1.0]",3.129287459821053
28,main,"[2.799999952316284, 6.5, 2.0, 0.0, 0.0, 0.0]",2.927508242141121
29,main,"[8.5, 8.0, 0.0, 1.0, 1.0, 2.0]",4.075395812659177
30,main,"[2.799999952316284, 8.0, 2.0, 1.0, 0.0, 0.0]",3.7766859896456815
31,main,"[4.0, 8.0, 1.0, 2.0, 0.0, 1.0]",5.176254249755598
32,main,"[8.5, 6.5, 2.0, 2.0, 1.0, 0.0]",5.299607189999924
33,main,"[8.5, 8.0, 1.0, 0.0, 0.0, 0.0]",4.235562632387673
34,main,"[8.5, 8.0, 1.0, 2.0, 1.0, 2.0]",5.713359632685381
35,main,"[2.799999952316284, 8.0, 1.0, 1.0, 1.0, 2.0]",2.329950425583123
36,main,"[4.0, 8.0, 1.0, 2.0, 1.0, 0.0]",4.190825018519587
37,main,"[4.0, 8.0, 2.0, 2.0, 1.0, 0.0]",3.201054105344422
38,main,"[8.5, 6.5, 0.0, 1.0, 0.0, 0.0]",3.0272967423482084
39,main,"[4.0, 8.0, 1.0, 0.0, 0.0, 1.0]",3.701583199302941
40,main,"[4.0, 6.5, 1.0, 2.0, 1.0, 2.0]",3.7736192931205332
41,main,"[8.5, 8.0, 2.0, 2.0, 1.0, 0.0]",6.191953677248128
42,main,"[8.5, 8.0, 1.0, 2.0, 0.0, 1.0]",5.010950870244771
43,main,"[2.799999952316284, 8.0, 2.0, 0.0, 0.0, 2.0]",3.6081502354585644
44,main,"[8.5, 6.5, 0.0, 2.0, 1.0, 0.0]",3.2615380674170806
45,main,"[2.799999952316284, 6.5, 2.0, 2.0, 1.0, 0.0]",3.0457199982790932
46,main,"[8.5, 8.0, 2.0, 1.0, 1.0, 2.0]",5.305308247092814
47,main,"[8.5, 8.0, 0.0, 0.0, 1.0, 2.0]",5.013984114188565
48,main,"[8.5, 6.5, 2.0, 0.0, 0.0, 2.0]",5.06458613065143
49,main,"[2.799999952316284, 8.0, 1.0, 2.0, 1.0, 1.0]",2.1624591164315055
50,main,"[2.799999952316284, 8.0, 1.0, 0.0, 1.0, 1.0]",3.5695446924948024
51,main,"[2.799999952316284, 8.0, 2.0, 0.0, 1.0, 1.0]",3.7034867305061714
52,main,"[2.799999952316284, 6.5, 2.0, 2.0, 0.0, 2.0]",2.7687700931430133
