iteration,phase,y_value,lambda_t,gamma_t,r_t,n_train,x0,x1,x2,x3,x4,x5
2,warmup,5,,,,,1.5,0.9,2,1.5,0.2,0.3
3,warmup,3,,,,,1.6,0.9,2,0.8,0.8,1.6
4,warmup,4,,,,,0.6,0.7,1.7,1.4,0.7,1.7
5,warmup,7,,,,,0.8,0.6,0.6,0.9,0.5,1.8
6,eur,3,,,,5,0.8,0.1,1,0.5,0.9,2
6,eur,6,,,,5,1.3,0,0.5,0.9,0.7,0.1
7,eur,7,,,,6,1.5,0.6,1.5,1.8,0.2,1.9
8,eur,5,,,,7,0.1,0.6,0.6,0.6,0.1,1.7
9,eur,2,,,,8,1.3,0.3,2,1.9,0.9,1
10,eur,3,,,,9,0.2,0.9,1.9,0.3,0.2,0.7
11,eur,3,,,,10,1.7,0.3,1.1,0.1,0.2,1.1
12,eur,4,,,,11,0.5,0.6,0.2,1.7,0.4,1.3
13,eur,5,,,,12,0.4,0.5,0.9,1.4,0.4,0.2
14,eur,1,,,,13,1.2,0.5,0.9,1,0.2,0.5
15,eur,2,,,,14,1.3,0.2,0.4,0.5,0.6,0.7
16,eur,5,,,,15,2,0.9,0.8,0.6,0.1,0.8
17,eur,3,,,,16,1,0.8,0.5,0.8,0.3,0.9
18,eur,6,,,,17,2,0.9,1.9,1.2,0.9,0.5
19,eur,1,,,,18,0.5,0.8,1.8,0.9,1,1.6
20,eur,1,,,,19,1,0.3,2,1.1,0.8,0.2
