trial,phase,x,y
1,warmup,"[1.4777232568809764, 0.9091196818477365, 1.9736048080210211, 1.5124101916260935, 0.21943646452351928, 0.30951446645269565]",5
2,warmup,"[1.6131806355563882, 0.8908354084326873, 1.9654096445314677, 0.7908586603033636, 0.7773010515198815, 1.5786911123914429]",3
3,warmup,"[0.5740817582356696, 0.7443339231075671, 1.7456082493355893, 1.3704567181503107, 0.6738055453741668, 1.68522307888964]",4
4,warmup,"[0.8287424465344204, 0.5737205885656887, 0.5558746614967494, 0.8704492925313709, 0.5399878216441498, 1.7992425457379617]",7
5,warmup,"[0.8010986359302892, 0.06540071394109881, 0.9871283843733463, 0.47888190058260127, 0.9389134097611374, 1.9514522389282725]",3
5,main,"[1.2656670275668525, 0.03004604161675717, 0.45485109166557725, 0.9088116094610381, 0.6616378539125065, 0.08561904781508267]",6
6,main,"[1.5414265984924973, 0.5561517708857192, 1.4731425745855937, 1.8192752178960352, 0.17338928830360634, 1.8621819547091167]",7
7,main,"[0.08590531884735109, 0.6172007360780181, 0.5858764648963539, 0.6129084920313657, 0.05171248391037753, 1.714317268327647]",5
8,main,"[1.3313902685256604, 0.30936591878720776, 1.9684608608667098, 1.9198705387316677, 0.9229135403516926, 0.9980625227639366]",2
9,main,"[0.2274116215158941, 0.902803176820655, 1.9002585499427191, 0.3241282629272342, 0.2474711712109019, 0.699748151024769]",3
10,main,"[1.7113394633668446, 0.3228849871909346, 1.135412917827464, 0.05004484657518171, 0.23986406374258484, 1.084750307805136]",3
11,main,"[0.45797754945943625, 0.5844382360229818, 0.23668834301685782, 1.7098694184121759, 0.42898280250711796, 1.3229521927395984]",4
12,main,"[0.37337161241370453, 0.5371328043463628, 0.9452474177056307, 1.429409173513242, 0.42647934676518795, 0.19921528686782564]",5
13,main,"[1.2490203547884924, 0.5218564524192634, 0.8917584890328822, 1.0207334251452485, 0.23576664480584586, 0.4674736523346199]",1
14,main,"[1.336682129271215, 0.23073473917328302, 0.3821108093006813, 0.530582336575208, 0.6007303159203711, 0.6761986696215223]",2
15,main,"[1.9586196279624077, 0.9289159409310905, 0.8198995311962123, 0.6114819762116526, 0.09584834954219357, 0.7735202963462229]",5
16,main,"[1.0021541589834382, 0.8028652358888487, 0.4689850873224646, 0.8175123936722948, 0.32004736420240676, 0.9087121833552194]",3
17,main,"[1.954595670934342, 0.9344947292887726, 1.9069814232401128, 1.1526993795033234, 0.9489790289085924, 0.5086412971899701]",6
18,main,"[0.47809509759152613, 0.7788623667454257, 1.8351360739620233, 0.9150713636295729, 0.9696479148758061, 1.6249339965947354]",1
19,main,"[1.0384479984658537, 0.26222110714055713, 1.954273703306733, 1.0760360047562385, 0.7962910343340789, 0.22662339771132545]",1
