iteration,phase,y_value,lambda_t,gamma_t,r_t,n_train,x0,x1,x2,x3,x4,x5
2,warmup,4,,,,,1.1,0.9,2,1.5,0.8,1.9
3,warmup,4,,,,,0.2,0.1,0.1,0.2,0.4,0.7
4,warmup,6,,,,,0.7,0.7,1.2,1.6,0.2,0.2
5,warmup,7,,,,,1.6,0.3,0.8,0.8,0.6,1.4
6,eur,6,,,,5,1.9,0.6,0.3,0.6,0.7,1.7
6,eur,2,,,,5,0.8,0.5,1.7,1.9,0,0.9
7,eur,7,,,,6,0.3,0.8,0.5,0.4,0.3,0.4
8,eur,6,,,,7,1.4,0.2,1.5,1.2,1,1.2
9,eur,5,,,,8,1.4,0.7,0.7,2,0.5,1.3
10,eur,5,,,,9,0.5,0.3,1.3,0.7,0.8,0.1
11,eur,5,,,,10,1,0.9,0.5,1,0.5,0.6
12,eur,2,,,,11,1.9,0,1.5,0.3,0.2,1.8
13,eur,5,,,,12,1.7,0.8,1,0.1,0.1,1.1
14,eur,1,,,,13,0.5,0.2,1,1.3,0.7,0.3
15,eur,1,,,,14,0,0.5,1.8,0.9,0.9,0.8
16,eur,4,,,,15,1.2,0.4,0.2,1.7,0.3,1.6
17,eur,2,,,,16,1.2,0.6,1.3,0.5,0.6,0.4
18,eur,4,,,,17,0.1,0.4,0.7,1.2,0.2,1
19,eur,1,,,,18,0.6,0.8,1.6,0.5,0.4,1.5
20,eur,4,,,,19,1.7,0.2,0.4,1.8,0.8,0.8
