trial,phase,x,y
1,warmup,"[1.106313344091177, 0.9476977344602346, 1.965591611340642, 1.463108031079173, 0.7654404416680336, 1.9343832544982433]",4
2,warmup,"[0.23736581951379776, 0.07506709080189466, 0.057110682129859924, 0.2042460385710001, 0.4347722129896283, 0.6953379362821579]",4
3,warmup,"[0.7397604677826166, 0.7049652114510536, 1.2182290814816952, 1.554986223578453, 0.248881870880723, 0.22819241322577]",6
4,warmup,"[1.6038156431168318, 0.3352556796744466, 0.8064280282706022, 0.8001229353249073, 0.5743467872962356, 1.403698330745101]",7
5,warmup,"[1.9202327448874712, 0.6176525615155697, 0.2596188075840473, 0.6148432418704033, 0.6805512877181172, 1.723778361454606]",6
5,main,"[0.79844712279737, 0.49886626843363047, 1.7337902542203665, 1.8735516928136349, 0.009861409664154053, 0.8925112839788198]",2
6,main,"[0.3037714548408985, 0.8475753236562014, 0.5101737771183252, 0.398375591263175, 0.3222315749153495, 0.42213280126452446]",7
7,main,"[1.4148053526878357, 0.2238995498046279, 1.481284312903881, 1.1532703507691622, 0.9951644111424685, 1.1919394880533218]",6
8,main,"[1.3746466301381588, 0.6713469848036766, 0.723482383415103, 1.996708445250988, 0.4766644677147269, 1.2973283734172583]",5
9,main,"[0.469170518219471, 0.29087330121546984, 1.2523485086858273, 0.7419281266629696, 0.8387519288808107, 0.06713301874697208]",5
10,main,"[0.9755782876163721, 0.9266613330692053, 0.4759976416826248, 1.030119201168418, 0.5244742603972554, 0.5987068712711334]",5
11,main,"[1.8683495502918959, 0.04910874646157026, 1.5017884988337755, 0.2712810505181551, 0.1679256558418274, 1.7674378119409084]",2
12,main,"[1.6847506184130907, 0.7787980157881975, 1.0486035272479057, 0.0810572188347578, 0.09298437274992466, 1.1031419038772583]",5
13,main,"[0.5340658035129309, 0.15216874238103628, 0.9604269657284021, 1.3360502067953348, 0.7322243517264724, 0.2786496542394161]",1
14,main,"[0.0355907566845417, 0.5067676715552807, 1.7992797251790762, 0.923302099108696, 0.9200523868203163, 0.8095540311187506]",1
15,main,"[1.1833363473415375, 0.375248902477324, 0.2077993042767048, 1.6820496506989002, 0.2781725721433759, 1.5705104861408472]",4
16,main,"[1.1994462851434946, 0.5513884294778109, 1.3187387995421886, 0.4504143502563238, 0.6202313844114542, 0.3745709266513586]",2
17,main,"[0.08199603669345379, 0.42401144560426474, 0.6570902448147535, 1.1934977937489748, 0.197168773971498, 1.011016258969903]",4
18,main,"[0.5833931975066662, 0.7959443889558315, 1.5681764353066683, 0.546203039586544, 0.3847983255982399, 1.5419090688228607]",1
19,main,"[1.6979080364108086, 0.16566155198961496, 0.4096040427684784, 1.7854728065431118, 0.8056178288534284, 0.8419281803071499]",4
