x1_CeilingHeight,x2_GridModule,x3_OuterFurniture,x4_VisualBoundary,x5_PhysicalBoundary,x6_InnerFurniture,pred_mean,pred_std
2.8,6.5,2,1,0,2,0.33003318,0.74283236
2.8,6.5,2,1,0,1,0.49677193,0.74967355
2.8,6.5,2,1,0,0,0.6231519,0.77281994
2.8,6.5,2,1,1,2,0.30505568,0.7541059
2.8,6.5,2,1,1,1,0.45037866,0.75139433
2.8,6.5,2,1,1,0,0.553323,0.76544744
2.8,6.5,2,2,0,2,0.90805733,0.768749
2.8,6.5,2,2,0,1,1.0600642,0.76199013
2.8,6.5,2,2,0,0,1.1124904,0.7774946
2.8,6.5,2,2,1,2,0.9337503,0.7694782
2.8,6.5,2,2,1,1,1.1249994,0.7630277
2.8,6.5,2,2,1,0,1.2156922,0.7805203
2.8,6.5,2,0,0,2,0.012393206,0.76629126
2.8,6.5,2,0,0,1,0.12133077,0.75461304
2.8,6.5,2,0,0,0,0.20442706,0.7577284
2.8,6.5,2,0,1,2,-0.2701281,0.75280786
2.8,6.5,2,0,1,1,-0.2063511,0.7356814
2.8,6.5,2,0,1,0,-0.14631462,0.73584497
2.8,6.5,1,1,0,2,0.14004505,0.7578846
2.8,6.5,1,1,0,1,0.31035256,0.7517148
2.8,6.5,1,1,0,0,0.43563366,0.7604644
2.8,6.5,1,1,1,2,-0.13542914,0.7636076
2.8,6.5,1,1,1,1,0.023706138,0.7584986
2.8,6.5,1,1,1,0,0.15737468,0.76904625
2.8,6.5,1,2,0,2,0.5612781,0.76307833
2.8,6.5,1,2,0,1,0.71625865,0.7548688
2.8,6.5,1,2,0,0,0.8056935,0.76655096
2.8,6.5,1,2,1,2,0.55672956,0.7546964
2.8,6.5,1,2,1,1,0.7539535,0.74187297
2.8,6.5,1,2,1,0,0.88199764,0.7551658
2.8,6.5,1,0,0,2,-0.41543102,0.77280396
2.8,6.5,1,0,0,1,-0.30813354,0.76678145
2.8,6.5,1,0,0,0,-0.19807437,0.777517
2.8,6.5,1,0,1,2,-0.9924268,0.750481
2.8,6.5,1,0,1,1,-0.92345136,0.7436138
2.8,6.5,1,0,1,0,-0.8047048,0.7560854
2.8,6.5,0,1,0,2,-0.26959586,0.781703
2.8,6.5,0,1,0,1,-0.14781398,0.77235156
2.8,6.5,0,1,0,0,-0.036615193,0.7788321
2.8,6.5,0,1,1,2,-0.6482748,0.77266437
2.8,6.5,0,1,1,1,-0.55249643,0.7629713
2.8,6.5,0,1,1,0,-0.441994,0.77280754
2.8,6.5,0,2,0,2,0.23921472,0.7664972
2.8,6.5,0,2,0,1,0.3450132,0.761318
2.8,6.5,0,2,0,0,0.4141147,0.78000325
2.8,6.5,0,2,1,2,0.16437232,0.79059947
2.8,6.5,0,2,1,1,0.29512948,0.7765623
2.8,6.5,0,2,1,0,0.38803297,0.7831559
2.8,6.5,0,0,0,2,-0.96174204,0.7872005
2.8,6.5,0,0,0,1,-0.8934504,0.77860296
2.8,6.5,0,0,0,0,-0.76581365,0.7931419
