x1_CeilingHeight,x2_GridModule,x3_OuterFurniture,x4_VisualBoundary,x5_PhysicalBoundary,x6_InnerFurniture,pred_mean,pred_std
2.8,6.5,2,1,0,2,0.39705342,0.6666703
2.8,6.5,2,1,0,1,0.2876404,0.6681094
2.8,6.5,2,1,0,0,0.12079018,0.6739829
2.8,6.5,2,1,1,2,0.3307513,0.66854113
2.8,6.5,2,1,1,1,0.22916651,0.66630393
2.8,6.5,2,1,1,0,0.07557809,0.6715116
2.8,6.5,2,2,0,2,0.35847563,0.6712936
2.8,6.5,2,2,0,1,0.25787994,0.67238957
2.8,6.5,2,2,0,0,0.09720728,0.6818713
2.8,6.5,2,2,1,2,0.29720443,0.6724517
2.8,6.5,2,2,1,1,0.20432884,0.6703976
2.8,6.5,2,2,1,0,0.054914445,0.6797558
2.8,6.5,2,0,0,2,0.40494084,0.67126393
2.8,6.5,2,0,0,1,0.29349637,0.671056
2.8,6.5,2,0,0,0,0.13125989,0.673673
2.8,6.5,2,0,1,2,0.3405879,0.67320234
2.8,6.5,2,0,1,1,0.23502868,0.66943157
2.8,6.5,2,0,1,0,0.08678016,0.67100465
2.8,6.5,1,1,0,2,0.38629377,0.6678173
2.8,6.5,1,1,0,1,0.254251,0.6678246
2.8,6.5,1,1,0,0,0.07453436,0.6734682
2.8,6.5,1,1,1,2,0.32130665,0.66860646
2.8,6.5,1,1,1,1,0.19616371,0.66570354
2.8,6.5,1,1,1,0,0.029838473,0.67126477
2.8,6.5,1,2,0,2,0.34406772,0.67160815
2.8,6.5,1,2,0,1,0.21930557,0.67091
2.8,6.5,1,2,0,0,0.045693547,0.6799703
2.8,6.5,1,2,1,2,0.28337038,0.67167485
2.8,6.5,1,2,1,1,0.16539761,0.6684733
2.8,6.5,1,2,1,0,0.002965629,0.677857
2.8,6.5,1,0,0,2,0.39928162,0.67263526
2.8,6.5,1,0,0,1,0.26870176,0.67178327
2.8,6.5,1,0,0,0,0.095277786,0.6745344
2.8,6.5,1,0,1,2,0.3362831,0.6737053
2.8,6.5,1,0,1,1,0.21121703,0.6700012
2.8,6.5,1,0,1,0,0.052084,0.6723315
2.8,6.5,0,1,0,2,0.3533431,0.6770339
2.8,6.5,0,1,0,1,0.20618519,0.6749198
2.8,6.5,0,1,0,0,0.02417466,0.6801329
2.8,6.5,0,1,1,2,0.29480946,0.6767949
2.8,6.5,0,1,1,1,0.1527063,0.6729478
2.8,6.5,0,1,1,0,-0.016842425,0.6784899
2.8,6.5,0,2,0,2,0.31044188,0.67975825
2.8,6.5,0,2,0,1,0.1676608,0.67684907
2.8,6.5,0,2,0,0,-0.0086508095,0.68483764
2.8,6.5,0,2,1,2,0.25500154,0.6789058
2.8,6.5,0,2,1,1,0.11701372,0.67451096
2.8,6.5,0,2,1,0,-0.048938006,0.6830094
2.8,6.5,0,0,0,2,0.370642,0.6817121
2.8,6.5,0,0,0,1,0.22918862,0.6795491
2.8,6.5,0,0,0,0,0.054426342,0.6824979
2.8,6.5,0,0,1,2,0.31396845,0.68189895
2.8,6.5,0,0,1,1,0.17699894,0.6779886
2.8,6.5,0,0,1,0,0.015530348,0.6810534
2.8,8.0,2,1,0,2,0.57044274,0.6738891
2.8,8.0,2,1,0,1,0.5053024,0.66957694
2.8,8.0,2,1,0,0,0.35495782,0.6721407
2.8,8.0,2,1,1,2,0.49709296,0.6733541
2.8,8.0,2,1,1,1,0.44508097,0.6689868
2.8,8.0,2,1,1,0,0.319312,0.67372525
2.8,8.0,2,2,0,2,0.5106303,0.67987233
2.8,8.0,2,2,0,1,0.44476196,0.67617303
2.8,8.0,2,2,0,0,0.30159497,0.68186975
2.8,8.0,2,2,1,2,0.44161254,0.6790027
2.8,8.0,2,2,1,1,0.38603333,0.6749584
2.8,8.0,2,2,1,0,0.26457345,0.68269235
2.8,8.0,2,0,0,2,0.5933616,0.6763832
2.8,8.0,2,0,0,1,0.5285042,0.6709393
2.8,8.0,2,0,0,0,0.37896422,0.6705147
2.8,8.0,2,0,1,2,0.5229716,0.67633736
2.8,8.0,2,0,1,1,0.47206026,0.6710696
2.8,8.0,2,0,1,0,0.34722668,0.672602
2.8,8.0,1,1,0,2,0.58229667,0.67143637
2.8,8.0,1,1,0,1,0.49936318,0.66746354
2.8,8.0,1,1,0,0,0.3390197,0.6715137
2.8,8.0,1,1,1,2,0.5106525,0.6704883
2.8,8.0,1,1,1,1,0.43855804,0.6664599
2.8,8.0,1,1,1,0,0.3029069,0.67247283
2.8,8.0,1,2,0,2,0.5186302,0.67715454
2.8,8.0,1,2,0,1,0.43340564,0.67333555
2.8,8.0,1,2,0,0,0.2794283,0.6799303
2.8,8.0,1,2,1,2,0.45005974,0.6758524
2.8,8.0,1,2,1,1,0.37355635,0.671691
2.8,8.0,1,2,1,0,0.24162897,0.6803308
2.8,8.0,1,0,0,2,0.60662884,0.6743795
2.8,8.0,1,0,0,1,0.5279303,0.66972154
2.8,8.0,1,0,0,0,0.37018543,0.6712443
2.8,8.0,1,0,1,2,0.53910995,0.67394257
2.8,8.0,1,0,1,1,0.47206014,0.6694588
2.8,8.0,1,0,1,0,0.3384848,0.6725792
2.8,8.0,0,1,0,2,0.56109464,0.6764158
2.8,8.0,0,1,0,1,0.46375066,0.6731131
2.8,8.0,0,1,0,0,0.3008749,0.6786959
2.8,8.0,0,1,1,2,0.4975617,0.6752131
2.8,8.0,0,1,1,1,0.40786985,0.67176145
2.8,8.0,0,1,1,0,0.26659703,0.6787595
2.8,8.0,0,2,0,2,0.49796546,0.68146
2.8,8.0,0,2,0,1,0.39715797,0.6778399
2.8,8.0,0,2,0,0,0.2397471,0.6852084
2.8,8.0,0,2,1,2,0.43579727,0.6799037
2.8,8.0,0,2,1,1,0.34131724,0.67593646
2.8,8.0,0,2,1,0,0.20359984,0.6849688
2.8,8.0,0,0,0,2,0.5853289,0.6795784
2.8,8.0,0,0,0,1,0.496391,0.67606455
2.8,8.0,0,0,0,0,0.33739215,0.6797281
2.8,8.0,0,0,1,2,0.5263581,0.6788324
