x1_CeilingHeight,x2_GridModule,x3_OuterFurniture,x4_VisualBoundary,x5_PhysicalBoundary,x6_InnerFurniture,y
4.0,8.0,1,0,0,0,3
8.5,8.0,2,1,1,1,3
2.8,6.5,0,0,1,1,3
8.5,6.5,1,0,1,1,3
8.5,8.0,0,2,1,1,3
4.0,8.0,1,2,0,1,3
2.8,6.5,1,2,0,1,3
8.5,6.5,1,0,0,2,2
8.5,8.0,0,0,1,0,3
8.5,8.0,2,1,0,2,3
4.0,8.0,0,2,1,0,3
2.8,8.0,2,0,0,1,3
8.5,6.5,0,2,0,1,3
8.5,8.0,0,2,0,2,3
2.8,6.5,2,2,1,0,4
8.5,6.5,1,2,0,2,3
4.0,8.0,1,1,1,0,3
4.0,6.5,1,1,1,1,3
2.8,6.5,0,1,0,1,3
4.0,6.5,1,1,1,0,3
8.5,8.0,2,0,1,2,2
2.8,8.0,2,1,0,2,3
8.5,6.5,2,0,1,0,3
4.0,6.5,0,0,0,2,2
2.8,8.0,2,0,0,2,2
2.8,6.5,2,1,0,2,3
2.8,8.0,1,2,1,1,3
2.8,8.0,0,1,0,1,3
4.0,6.5,1,2,1,1,3
2.8,6.5,0,2,1,1,3
2.8,6.5,1,0,1,0,3
4.0,8.0,2,1,0,0,3
4.0,8.0,2,0,1,0,3
4.0,6.5,2,2,1,0,4
4.0,6.5,2,0,1,0,3
4.0,6.5,1,2,1,0,3
8.5,6.5,1,1,1,1,3
2.8,8.0,1,2,0,0,3
2.8,6.5,0,0,1,0,3
8.5,6.5,0,2,1,1,3
8.5,6.5,0,0,1,2,2
4.0,8.0,0,2,1,1,3
2.8,6.5,0,2,1,2,3
2.8,6.5,2,2,0,2,3
4.0,8.0,1,0,1,0,3
4.0,6.5,2,0,0,1,3
4.0,8.0,0,1,1,2,2
2.8,8.0,0,2,1,2,3
2.8,8.0,1,0,0,2,2
8.5,6.5,0,1,1,2,2
2.8,8.0,0,0,1,1,2
8.5,6.5,0,1,1,0,3
2.8,8.0,1,2,1,2,3
2.8,6.5,2,2,0,0,4
8.5,8.0,1,2,0,1,3
2.8,6.5,1,0,0,1,3
8.5,6.5,2,0,0,1,3
2.8,6.5,2,0,1,1,3
4.0,6.5,2,1,0,2,3
4.0,8.0,1,2,0,0,3
4.0,6.5,2,2,1,2,3
8.5,6.5,2,2,0,0,4
2.8,8.0,0,2,1,0,3
2.8,8.0,0,2,0,1,3
4.0,6.5,1,2,1,2,3
2.8,8.0,1,0,0,1,3
2.8,6.5,0,0,1,2,2
8.5,8.0,1,1,0,2,3
2.8,8.0,2,2,0,1,3
4.0,8.0,2,0,0,0,3
4.0,8.0,0,0,1,2,2
