Condition_ID,x1_CeilingHeight,x2_GridModule,x3_OuterFurniture,x4_VisualBoundary,x5_PhysicalBoundary,x6_InnerFurniture
195,4.0,8.0,Rotated,Color,Closed,Chaos
275,8.5,8.0,Strict,Solid,Open,Rotated
53,2.8,6.5,Chaos,Color,Open,Rotated
251,8.5,6.5,Rotated,Color,Open,Rotated
317,8.5,8.0,Chaos,Translucent,Open,Rotated
188,4.0,8.0,Rotated,Translucent,Closed,Rotated
26,2.8,6.5,Rotated,Translucent,Closed,Rotated
247,8.5,6.5,Rotated,Color,Closed,Strict
324,8.5,8.0,Chaos,Color,Open,Chaos
271,8.5,8.0,Strict,Solid,Closed,Strict
210,4.0,8.0,Chaos,Translucent,Open,Chaos
68,2.8,8.0,Strict,Color,Closed,Rotated
260,8.5,6.5,Chaos,Translucent,Closed,Rotated
313,8.5,8.0,Chaos,Translucent,Closed,Strict
12,2.8,6.5,Strict,Translucent,Open,Chaos
241,8.5,6.5,Rotated,Translucent,Closed,Strict
186,4.0,8.0,Rotated,Solid,Open,Chaos
131,4.0,6.5,Rotated,Solid,Open,Rotated
38,2.8,6.5,Chaos,Solid,Closed,Rotated
132,4.0,6.5,Rotated,Solid,Open,Chaos
286,8.5,8.0,Strict,Color,Open,Strict
55,2.8,8.0,Strict,Solid,Closed,Strict
234,8.5,6.5,Strict,Color,Open,Chaos
157,4.0,6.5,Chaos,Color,Closed,Strict
67,2.8,8.0,Strict,Color,Closed,Strict
1,2.8,6.5,Strict,Solid,Closed,Strict
83,2.8,8.0,Rotated,Translucent,Open,Rotated
92,2.8,8.0,Chaos,Solid,Closed,Rotated
137,4.0,6.5,Rotated,Translucent,Open,Rotated
47,2.8,6.5,Chaos,Translucent,Open,Rotated
36,2.8,6.5,Rotated,Color,Open,Chaos
165,4.0,8.0,Strict,Solid,Closed,Chaos
180,4.0,8.0,Strict,Color,Open,Chaos
120,4.0,6.5,Strict,Translucent,Open,Chaos
126,4.0,6.5,Strict,Color,Open,Chaos
138,4.0,6.5,Rotated,Translucent,Open,Chaos
239,8.5,6.5,Rotated,Solid,Open,Rotated
81,2.8,8.0,Rotated,Translucent,Closed,Chaos
54,2.8,6.5,Chaos,Color,Open,Chaos
263,8.5,6.5,Chaos,Translucent,Open,Rotated
268,8.5,6.5,Chaos,Color,Open,Strict
209,4.0,8.0,Chaos,Translucent,Open,Rotated
46,2.8,6.5,Chaos,Translucent,Open,Strict
7,2.8,6.5,Strict,Translucent,Closed,Strict
198,4.0,8.0,Rotated,Color,Open,Chaos
122,4.0,6.5,Strict,Color,Closed,Rotated
202,4.0,8.0,Chaos,Solid,Open,Strict
100,2.8,8.0,Chaos,Translucent,Open,Strict
85,2.8,8.0,Rotated,Color,Closed,Strict
256,8.5,6.5,Chaos,Solid,Open,Strict
107,2.8,8.0,Chaos,Color,Open,Rotated
258,8.5,6.5,Chaos,Solid,Open,Chaos
82,2.8,8.0,Rotated,Translucent,Open,Strict
9,2.8,6.5,Strict,Translucent,Closed,Chaos
296,8.5,8.0,Rotated,Translucent,Closed,Rotated
32,2.8,6.5,Rotated,Color,Closed,Rotated
230,8.5,6.5,Strict,Color,Closed,Rotated
17,2.8,6.5,Strict,Color,Open,Rotated
109,4.0,6.5,Strict,Solid,Closed,Strict
189,4.0,8.0,Rotated,Translucent,Closed,Chaos
118,4.0,6.5,Strict,Translucent,Open,Strict
225,8.5,6.5,Strict,Translucent,Closed,Chaos
102,2.8,8.0,Chaos,Translucent,Open,Chaos
98,2.8,8.0,Chaos,Translucent,Closed,Rotated
136,4.0,6.5,Rotated,Translucent,Open,Strict
86,2.8,8.0,Rotated,Color,Closed,Rotated
52,2.8,6.5,Chaos,Color,Open,Strict
289,8.5,8.0,Rotated,Solid,Closed,Strict
62,2.8,8.0,Strict,Translucent,Closed,Rotated
177,4.0,8.0,Strict,Color,Closed,Chaos
214,4.0,8.0,Chaos,Color,Open,Strict
