Condition_ID,x1_CeilingHeight,x2_GridModule,x3_OuterFurniture,x4_VisualBoundary,x5_PhysicalBoundary,x6_InnerFurniture
291,8.5,8.0,Rotated,Solid,Closed,Chaos
318,8.5,8.0,Chaos,Translucent,Open,Chaos
212,4.0,8.0,Chaos,Color,Closed,Rotated
237,8.5,6.5,Rotated,Solid,Closed,Chaos
271,8.5,8.0,Strict,Solid,Closed,Strict
319,8.5,8.0,Chaos,Color,Closed,Strict
288,8.5,8.0,Strict,Color,Open,Chaos
174,4.0,8.0,Strict,Translucent,Open,Chaos
76,2.8,8.0,Rotated,Solid,Open,Strict
162,4.0,6.5,Chaos,Color,Open,Chaos
309,8.5,8.0,Chaos,Solid,Closed,Chaos
20,2.8,6.5,Rotated,Solid,Closed,Rotated
91,2.8,8.0,Chaos,Solid,Closed,Strict
233,8.5,6.5,Strict,Color,Open,Rotated
178,4.0,8.0,Strict,Color,Open,Strict
25,2.8,6.5,Rotated,Translucent,Closed,Strict
128,4.0,6.5,Rotated,Solid,Closed,Rotated
106,2.8,8.0,Chaos,Color,Open,Strict
282,8.5,8.0,Strict,Translucent,Open,Chaos
96,2.8,8.0,Chaos,Solid,Open,Chaos
177,4.0,8.0,Strict,Color,Closed,Chaos
143,4.0,6.5,Rotated,Color,Open,Rotated
217,8.5,6.5,Strict,Solid,Closed,Strict
205,4.0,8.0,Chaos,Translucent,Closed,Strict
196,4.0,8.0,Rotated,Color,Open,Strict
300,8.5,8.0,Rotated,Translucent,Open,Chaos
257,8.5,6.5,Chaos,Solid,Open,Rotated
154,4.0,6.5,Chaos,Translucent,Open,Strict
60,2.8,8.0,Strict,Solid,Open,Chaos
44,2.8,6.5,Chaos,Translucent,Closed,Rotated
215,4.0,8.0,Chaos,Color,Open,Rotated
297,8.5,8.0,Rotated,Translucent,Closed,Chaos
89,2.8,8.0,Rotated,Color,Open,Rotated
41,2.8,6.5,Chaos,Solid,Open,Rotated
164,4.0,8.0,Strict,Solid,Closed,Rotated
75,2.8,8.0,Rotated,Solid,Closed,Chaos
77,2.8,8.0,Rotated,Solid,Open,Rotated
37,2.8,6.5,Chaos,Solid,Closed,Strict
88,2.8,8.0,Rotated,Color,Open,Strict
150,4.0,6.5,Chaos,Solid,Open,Chaos
301,8.5,8.0,Rotated,Color,Closed,Strict
256,8.5,6.5,Chaos,Solid,Open,Strict
272,8.5,8.0,Strict,Solid,Closed,Rotated
283,8.5,8.0,Strict,Color,Closed,Strict
137,4.0,6.5,Rotated,Translucent,Open,Rotated
1,2.8,6.5,Strict,Solid,Closed,Strict
245,8.5,6.5,Rotated,Translucent,Open,Rotated
101,2.8,8.0,Chaos,Translucent,Open,Rotated
29,2.8,6.5,Rotated,Translucent,Open,Rotated
168,4.0,8.0,Strict,Solid,Open,Chaos
78,2.8,8.0,Rotated,Solid,Open,Chaos
146,4.0,6.5,Chaos,Solid,Closed,Rotated
221,8.5,6.5,Strict,Solid,Open,Rotated
51,2.8,6.5,Chaos,Color,Closed,Chaos
167,4.0,8.0,Strict,Solid,Open,Rotated
4,2.8,6.5,Strict,Solid,Open,Strict
45,2.8,6.5,Chaos,Translucent,Closed,Chaos
324,8.5,8.0,Chaos,Color,Open,Chaos
21,2.8,6.5,Rotated,Solid,Closed,Chaos
97,2.8,8.0,Chaos,Translucent,Closed,Strict
224,8.5,6.5,Strict,Translucent,Closed,Rotated
125,4.0,6.5,Strict,Color,Open,Rotated
31,2.8,6.5,Rotated,Color,Closed,Strict
175,4.0,8.0,Strict,Color,Closed,Strict
184,4.0,8.0,Rotated,Solid,Open,Strict
321,8.5,8.0,Chaos,Color,Closed,Chaos
259,8.5,6.5,Chaos,Translucent,Closed,Strict
187,4.0,8.0,Rotated,Translucent,Closed,Strict
43,2.8,6.5,Chaos,Translucent,Closed,Strict
222,8.5,6.5,Strict,Solid,Open,Chaos
54,2.8,6.5,Chaos,Color,Open,Chaos
83,2.8,8.0,Rotated,Translucent,Open,Rotated
