x1_CeilingHeight,x2_GridModule,x3_OuterFurniture,x4_VisualBoundary,x5_PhysicalBoundary,x6_InnerFurniture,pred_mean,pred_std
2.8,6.5,2,1,0,2,0.23607104,0.66924745
2.8,6.5,2,1,0,1,0.5412304,0.6676485
2.8,6.5,2,1,0,0,0.8055107,0.67483956
2.8,6.5,2,1,1,2,0.25895017,0.6730513
2.8,6.5,2,1,1,1,0.5065641,0.6692849
2.8,6.5,2,1,1,0,0.70462006,0.6752834
2.8,6.5,2,2,0,2,0.7510938,0.6785938
2.8,6.5,2,2,0,1,1.1966871,0.6732441
2.8,6.5,2,2,0,0,1.5041955,0.68055755
2.8,6.5,2,2,1,2,0.7265195,0.67963344
2.8,6.5,2,2,1,1,1.1356856,0.6731758
2.8,6.5,2,2,1,0,1.3909726,0.68026817
2.8,6.5,2,0,0,2,-0.15428098,0.6786026
2.8,6.5,2,0,0,1,-0.043576792,0.6730732
2.8,6.5,2,0,0,0,0.11328952,0.67954797
2.8,6.5,2,0,1,2,-0.11499365,0.6799677
2.8,6.5,2,0,1,1,-0.055054262,0.673845
2.8,6.5,2,0,1,0,0.042459175,0.68031293
2.8,6.5,1,1,0,2,-0.0056610852,0.66966695
2.8,6.5,1,1,0,1,0.2482218,0.6666028
2.8,6.5,1,1,0,0,0.47595114,0.6710121
2.8,6.5,1,1,1,2,-0.07350905,0.6705118
2.8,6.5,1,1,1,1,0.14409773,0.6665351
2.8,6.5,1,1,1,0,0.34109873,0.6705299
2.8,6.5,1,2,0,2,0.4195909,0.67429423
2.8,6.5,1,2,0,1,0.8120081,0.6690145
2.8,6.5,1,2,0,0,1.0963775,0.6747227
2.8,6.5,1,2,1,2,0.30029887,0.67335784
2.8,6.5,1,2,1,1,0.67071575,0.66701263
2.8,6.5,1,2,1,0,0.94468015,0.67340237
2.8,6.5,1,0,0,2,-0.26402432,0.6745589
2.8,6.5,1,0,0,1,-0.18096025,0.66949147
2.8,6.5,1,0,0,0,-0.055041626,0.67418516
2.8,6.5,1,0,1,2,-0.28445822,0.6747995
2.8,6.5,1,0,1,1,-0.241973,0.66898143
2.8,6.5,1,0,1,0,-0.16057701,0.6728322
2.8,6.5,0,1,0,2,-0.295996,0.67523783
2.8,6.5,0,1,0,1,-0.16178139,0.66990477
2.8,6.5,0,1,0,0,-0.023898438,0.67470056
2.8,6.5,0,1,1,2,-0.46249896,0.6751876
2.8,6.5,0,1,1,1,-0.33915454,0.669347
2.8,6.5,0,1,1,0,-0.19295152,0.6733807
2.8,6.5,0,2,0,2,-0.02045782,0.6806072
2.8,6.5,0,2,0,1,0.21096341,0.673927
2.8,6.5,0,2,0,0,0.4063453,0.68060625
2.8,6.5,0,2,1,2,-0.21361192,0.6802528
2.8,6.5,0,2,1,1,0.022799894,0.67329735
2.8,6.5,0,2,1,0,0.24698465,0.6801783
2.8,6.5,0,0,0,2,-0.43817788,0.68049604
2.8,6.5,0,0,0,1,-0.40968877,0.6728409
2.8,6.5,0,0,0,0,-0.33962876,0.67719316
2.8,6.5,0,0,1,2,-0.5469139,0.67997074
2.8,6.5,0,0,1,1,-0.55186135,0.6704878
2.8,6.5,0,0,1,0,-0.49927527,0.6721874
2.8,8.0,2,1,0,2,0.16753332,0.6740943
2.8,8.0,2,1,0,1,0.419604,0.6693666
2.8,8.0,2,1,0,0,0.63948005,0.674147
2.8,8.0,2,1,1,2,0.16480868,0.67494327
2.8,8.0,2,1,1,1,0.35436648,0.6698181
2.8,8.0,2,1,1,0,0.51542646,0.6749818
2.8,8.0,2,2,0,2,0.6084172,0.68012244
2.8,8.0,2,2,0,1,0.9463772,0.6736572
2.8,8.0,2,2,0,0,1.1712028,0.6804347
2.8,8.0,2,2,1,2,0.52372736,0.6798313
2.8,8.0,2,2,1,1,0.81193703,0.67276365
2.8,8.0,2,2,1,0,0.99633473,0.67984676
2.8,8.0,2,0,0,2,-0.18871088,0.68002504
2.8,8.0,2,0,0,1,-0.080517486,0.67184544
2.8,8.0,2,0,0,0,0.068868205,0.6750966
2.8,8.0,2,0,1,2,-0.13130672,0.6805977
2.8,8.0,2,0,1,1,-0.07074387,0.67346364
2.8,8.0,2,0,1,0,0.019553468,0.6785913
2.8,8.0,1,1,0,2,0.012232706,0.67081296
2.8,8.0,1,1,0,1,0.25254005,0.66687936
2.8,8.0,1,1,0,0,0.46765822,0.670874
2.8,8.0,1,1,1,2,-0.04037626,0.6706483
2.8,8.0,1,1,1,1,0.16717593,0.6663843
2.8,8.0,1,1,1,0,0.3505209,0.6706806
2.8,8.0,1,2,0,2,0.36507195,0.67429864
2.8,8.0,1,2,0,1,0.7018251,0.6685461
2.8,8.0,1,2,0,0,0.942795,0.67432564
2.8,8.0,1,2,1,2,0.2107238,0.6725325
2.8,8.0,1,2,1,1,0.5208072,0.66565585
2.8,8.0,1,2,1,0,0.75415736,0.6725193
2.8,8.0,1,0,0,2,-0.23902293,0.6749169
2.8,8.0,1,0,0,1,-0.12245913,0.6693814
2.8,8.0,1,0,0,0,0.021459863,0.6737049
2.8,8.0,1,0,1,2,-0.19925602,0.67495686
2.8,8.0,1,0,1,1,-0.11764152,0.66960555
2.8,8.0,1,0,1,0,-0.021984652,0.6743293
