x1_binary,x2_5level_discrete,x3_5level_decimal,x4_4level_categorical,x5_3level_categorical,x6_binary,y
1,1,1.0,low,C,False,1.4844062657765678
1,5,1.0,max,C,True,2.701684012594451
0,1,1.0,max,B,False,0.36823984070257276
1,2,0.25,low,A,True,1.0018195516431523
0,5,0.0,max,A,True,1.2114099716442306
0,4,0.25,high,A,True,1.0766790806659696
1,2,0.5,low,C,True,1.5390265157500436
1,4,0.5,high,A,False,1.5709494133162654
0,5,0.5,high,B,False,1.7380566044965144
1,5,0.0,low,A,False,2.2194159040664605
1,4,0.0,high,B,False,2.059877147621575
0,4,0.5,low,C,False,1.5064156608641521
0,1,0.0,max,C,True,0.5161894895278822
1,3,0.5,high,B,True,1.9910948672397688
0,1,0.0,low,A,False,0.08569079210717356
1,5,0.75,low,B,False,2.525429169204907
0,3,0.5,high,B,True,1.2381206954365829
1,4,1.0,max,A,True,2.1177595295642475
1,5,0.75,max,A,False,2.1833025709408767
1,2,0.75,mid,B,True,1.2925576870376998
0,2,0.0,max,A,False,0.8229964305246414
0,4,0.25,mid,B,False,1.011088612219928
1,4,0.5,max,A,True,2.028984770587742
0,4,0.75,max,A,True,0.9806431665255899
1,5,1.0,low,A,False,2.434408354904315
