x1_binary,x2_5level_discrete,x3_5level_decimal,x4_4level_categorical,x5_3level_categorical,x6_binary,y,subject
0,1,0.0,max,C,True,0.5093504421060424,subject_1
0,2,0.0,high,C,True,-0.05983223975710647,subject_1
1,5,1.0,low,A,False,-3.553494227539885,subject_1
1,3,0.25,high,B,False,-2.38649685172246,subject_1
0,5,0.75,max,B,False,-2.7306391687911455,subject_1
0,5,1.0,mid,C,False,-1.5259801858307493,subject_1
0,4,0.75,mid,C,False,-0.34957912779064243,subject_1
1,5,0.5,low,B,False,-2.5541969613326003,subject_1
0,1,0.5,low,B,False,0.7984189784369138,subject_1
1,5,1.0,max,C,True,-2.7030726520157207,subject_1
1,2,0.5,max,B,False,-0.9935822458189087,subject_1
0,4,0.0,high,B,True,-2.6388155525855255,subject_1
1,1,1.0,low,C,False,1.027343719795564,subject_1
1,4,0.75,high,B,False,-2.769654205026246,subject_1
1,3,0.5,high,B,True,-2.1420186948884687,subject_1
0,1,1.0,low,B,True,-0.09395490301375198,subject_1
1,5,0.5,high,C,False,-2.0099226912805066,subject_1
0,3,0.5,high,B,True,-1.8411266353097895,subject_1
1,1,0.75,max,B,False,-0.9981198595943639,subject_1
0,3,0.0,low,B,True,-1.5080446852380625,subject_1
1,2,1.0,mid,A,True,-2.6385347492105335,subject_1
0,3,0.0,max,C,True,-1.2705564004181615,subject_1
1,2,0.5,mid,A,False,-1.9640839738603983,subject_1
0,1,0.0,low,A,False,-0.37719584661245603,subject_1
0,5,0.0,max,A,True,-4.390541990274722,subject_1
0,1,0.5,mid,C,False,0.2005638159934395,subject_2
0,3,0.5,high,B,True,0.5125119100188584,subject_2
1,3,1.0,max,A,True,-1.1065868062339876,subject_2
1,5,1.0,max,C,True,0.7010852598809432,subject_2
0,5,0.0,max,A,True,1.5938299940190837,subject_2
1,5,1.0,low,A,False,3.1843006420191986,subject_2
1,5,0.0,low,C,False,2.5102611806697888,subject_2
0,5,0.0,low,A,False,4.16378538287698,subject_2
1,3,0.75,mid,C,True,-0.19752059203580086,subject_2
0,5,1.0,low,A,True,3.4747208240126475,subject_2
0,2,0.5,max,C,False,-0.12189990475666013,subject_2
0,1,0.5,max,C,False,-0.7420449747444924,subject_2
0,1,0.0,max,C,True,-1.436289464090955,subject_2
1,4,0.75,low,C,True,1.9308822381553983,subject_2
1,3,0.5,high,B,True,0.15871083951471215,subject_2
0,3,0.0,low,C,True,1.635942744627413,subject_2
0,4,0.0,mid,B,True,2.15614402763968,subject_2
0,2,0.5,max,B,False,0.10436848395463928,subject_2
0,1,0.0,max,A,True,-1.283886867906978,subject_2
0,1,0.0,low,A,False,0.8148579876376009,subject_2
1,3,0.25,mid,A,False,1.2843533161751357,subject_2
1,3,0.0,mid,B,False,1.2727174810211668,subject_2
0,1,0.75,high,A,False,0.010565387354009432,subject_2
1,1,1.0,low,C,False,-0.06025434269972145,subject_2
1,2,0.75,max,C,False,-0.9558143556462179,subject_2
1,5,0.25,max,A,True,-0.38195987253728125,subject_3
1,2,1.0,mid,B,True,-2.7968629824898845,subject_3
0,5,0.0,high,B,True,-0.36190633502749364,subject_3
0,1,0.75,mid,B,False,-1.2787652406590924,subject_3
0,1,0.5,high,A,False,-0.36829638175718016,subject_3
0,1,0.25,max,C,True,-3.5457139556242363,subject_3
1,5,0.25,high,B,False,-0.20207858241576288,subject_3
1,1,0.25,mid,C,False,-2.500426580832559,subject_3
0,3,0.5,high,B,True,-1.5906430376508862,subject_3
0,1,1.0,mid,A,False,-0.878124113806267,subject_3
0,3,0.75,high,A,True,-0.9155253755325136,subject_3
1,3,0.5,high,B,True,-1.9384197220503583,subject_3
1,3,0.75,high,B,False,-1.5713646055088761,subject_3
0,1,0.0,max,C,True,-3.221634179567127,subject_3
0,5,0.25,high,B,False,0.8481911552090975,subject_3
1,5,1.0,low,A,False,0.6708674818901582,subject_3
1,1,1.0,high,C,False,-3.4695704278877924,subject_3
1,5,1.0,max,C,True,-2.8648496974273225,subject_3
1,4,0.75,low,B,False,-0.34521209294974475,subject_3
0,5,0.0,max,A,True,0.5018739625338002,subject_3
0,4,0.75,low,A,True,-0.16997364178039948,subject_3
0,1,0.5,high,A,True,-1.4916161539950619,subject_3
0,1,0.0,low,A,False,0.5347161047836919,subject_3
1,1,1.0,low,C,False,-2.7622098054677275,subject_3
1,3,0.0,max,C,True,-3.034703748879614,subject_3
1,1,1.0,low,C,False,1.4844062657765678,subject_4
1,5,1.0,max,C,True,2.701684012594451,subject_4
0,1,1.0,max,B,False,0.36823984070257276,subject_4
1,2,0.25,low,A,True,1.0018195516431523,subject_4
0,5,0.0,max,A,True,1.2114099716442306,subject_4
0,4,0.25,high,A,True,1.0766790806659696,subject_4
1,2,0.5,low,C,True,1.5390265157500436,subject_4
1,4,0.5,high,A,False,1.5709494133162654,subject_4
0,5,0.5,high,B,False,1.7380566044965144,subject_4
1,5,0.0,low,A,False,2.2194159040664605,subject_4
1,4,0.0,high,B,False,2.059877147621575,subject_4
0,4,0.5,low,C,False,1.5064156608641521,subject_4
0,1,0.0,max,C,True,0.5161894895278822,subject_4
1,3,0.5,high,B,True,1.9910948672397688,subject_4
0,1,0.0,low,A,False,0.08569079210717356,subject_4
1,5,0.75,low,B,False,2.525429169204907,subject_4
0,3,0.5,high,B,True,1.2381206954365829,subject_4
1,4,1.0,max,A,True,2.1177595295642475,subject_4
1,5,0.75,max,A,False,2.1833025709408767,subject_4
1,2,0.75,mid,B,True,1.2925576870376998,subject_4
0,2,0.0,max,A,False,0.8229964305246414,subject_4
0,4,0.25,mid,B,False,1.011088612219928,subject_4
1,4,0.5,max,A,True,2.028984770587742,subject_4
0,4,0.75,max,A,True,0.9806431665255899,subject_4
1,5,1.0,low,A,False,2.434408354904315,subject_4
1,5,1.0,low,A,False,0.1925740933487247,subject_5
1,4,0.75,max,C,False,1.2255667076311325,subject_5
0,2,0.0,max,C,True,2.406019514203035,subject_5
1,3,0.25,high,A,False,0.9244510517011867,subject_5
0,1,0.0,low,A,False,-0.21248195146145565,subject_5
0,5,0.0,max,A,True,3.0880072335756483,subject_5
1,1,1.0,low,C,False,-0.6086747528039966,subject_5
0,2,0.75,max,B,False,2.0019714127912756,subject_5
1,5,0.5,max,C,False,1.5572992457574082,subject_5
1,2,0.25,high,A,False,1.08997597461981,subject_5
0,4,1.0,mid,C,False,1.4423199800237776,subject_5
