x1_binary,x2_5level_discrete,x3_5level_decimal,x4_4level_categorical,x5_3level_categorical,x6_binary,y
1,5,0.25,max,A,True,-0.38195987253728125
1,2,1.0,mid,B,True,-2.7968629824898845
0,5,0.0,high,B,True,-0.36190633502749364
0,1,0.75,mid,B,False,-1.2787652406590924
0,1,0.5,high,A,False,-0.36829638175718016
0,1,0.25,max,C,True,-3.5457139556242363
1,5,0.25,high,B,False,-0.20207858241576288
1,1,0.25,mid,C,False,-2.500426580832559
0,3,0.5,high,B,True,-1.5906430376508862
0,1,1.0,mid,A,False,-0.878124113806267
0,3,0.75,high,A,True,-0.9155253755325136
1,3,0.5,high,B,True,-1.9384197220503583
1,3,0.75,high,B,False,-1.5713646055088761
0,1,0.0,max,C,True,-3.221634179567127
0,5,0.25,high,B,False,0.8481911552090975
1,5,1.0,low,A,False,0.6708674818901582
1,1,1.0,high,C,False,-3.4695704278877924
1,5,1.0,max,C,True,-2.8648496974273225
1,4,0.75,low,B,False,-0.34521209294974475
0,5,0.0,max,A,True,0.5018739625338002
0,4,0.75,low,A,True,-0.16997364178039948
0,1,0.5,high,A,True,-1.4916161539950619
0,1,0.0,low,A,False,0.5347161047836919
1,1,1.0,low,C,False,-2.7622098054677275
1,3,0.0,max,C,True,-3.034703748879614
