x1_binary,x2_5level_discrete,x3_5level_decimal,x4_4level_categorical,x5_3level_categorical,x6_binary,pred_mean,pred_std
0,1,0.0,1,0,1,-0.508781,0.90356874
0,1,0.0,1,0,0,-0.36552843,0.8943504
0,1,0.0,1,1,1,-0.70856524,0.8971861
0,1,0.0,1,1,0,-0.5620689,0.89382434
0,1,0.0,1,2,1,-0.80700976,0.9000948
0,1,0.0,1,2,0,-0.670187,0.9024726
0,1,0.0,3,0,1,-0.48420444,0.91853935
0,1,0.0,3,0,0,-0.33373013,0.91387355
0,1,0.0,3,1,1,-0.6723844,0.90867865
0,1,0.0,3,1,0,-0.5023694,0.9059624
0,1,0.0,3,2,1,-0.7690341,0.90682685
0,1,0.0,3,2,0,-0.60736,0.9076441
0,1,0.0,0,0,1,-0.37540933,0.91070086
0,1,0.0,0,0,0,-0.25720266,0.9027584
0,1,0.0,0,1,1,-0.52956325,0.9081028
0,1,0.0,0,1,0,-0.4226595,0.90390533
0,1,0.0,0,2,1,-0.60548127,0.91437244
0,1,0.0,0,2,0,-0.51795197,0.91426796
0,1,0.0,2,0,1,-0.5625149,0.90693694
0,1,0.0,2,0,0,-0.4043729,0.90054685
0,1,0.0,2,1,1,-0.7806397,0.8967241
0,1,0.0,2,1,0,-0.602757,0.89494866
0,1,0.0,2,2,1,-0.8906448,0.8945518
0,1,0.0,2,2,0,-0.71357435,0.89885235
0,1,0.25,1,0,1,-0.5088525,0.9023022
0,1,0.25,1,0,0,-0.36573824,0.89309174
0,1,0.25,1,1,1,-0.71040225,0.8954259
0,1,0.25,1,1,0,-0.5670855,0.8914389
0,1,0.25,1,2,1,-0.8094359,0.898686
0,1,0.25,1,2,0,-0.6769457,0.8998548
0,1,0.25,3,0,1,-0.4753525,0.91720116
0,1,0.25,3,0,0,-0.3210841,0.91183627
0,1,0.25,3,1,1,-0.66479117,0.90732235
0,1,0.25,3,1,0,-0.49338862,0.903526
0,1,0.25,3,2,1,-0.7637789,0.9059876
0,1,0.25,3,2,0,-0.60323894,0.9056425
0,1,0.25,0,0,1,-0.37901828,0.9090893
0,1,0.25,0,0,0,-0.26068404,0.9010024
0,1,0.25,0,1,1,-0.53533316,0.90619195
0,1,0.25,0,1,0,-0.43099317,0.9014525
0,1,0.25,0,2,1,-0.6115538,0.91278327
0,1,0.25,0,2,0,-0.52747846,0.9118362
0,1,0.25,2,0,1,-0.557215,0.9058285
0,1,0.25,2,0,0,-0.39771935,0.8990155
0,1,0.25,2,1,1,-0.7768189,0.89537436
0,1,0.25,2,1,0,-0.60074425,0.8925479
0,1,0.25,2,2,1,-0.8877069,0.89367634
0,1,0.25,2,2,0,-0.7144332,0.8965018
0,1,0.5,1,0,1,-0.5034075,0.90252614
0,1,0.5,1,0,0,-0.36296633,0.8936864
0,1,0.5,1,1,1,-0.7037469,0.8952526
0,1,0.5,1,1,0,-0.56584054,0.89072347
0,1,0.5,1,2,1,-0.8007422,0.89884645
0,1,0.5,1,2,0,-0.6751165,0.8986297
0,1,0.5,3,0,1,-0.4606333,0.9168767
0,1,0.5,3,0,0,-0.30492327,0.91091514
0,1,0.5,3,1,1,-0.6481911,0.90726584
0,1,0.5,3,1,0,-0.47848853,0.9024552
0,1,0.5,3,2,1,-0.74734175,0.90663904
0,1,0.5,3,2,0,-0.59113836,0.90509534
0,1,0.5,0,0,1,-0.37921724,0.9088482
0,1,0.5,0,0,0,-0.26313463,0.9008933
0,1,0.5,0,1,1,-0.53557855,0.90561163
0,1,0.5,0,1,0,-0.43533573,0.9004495
0,1,0.5,0,2,1,-0.61056066,0.91233397
