x1_binary,x2_5level_discrete,x3_5level_decimal,x4_4level_categorical,x5_3level_categorical,x6_binary,y
1,1,1.0,low,C,False,5
1,5,1.0,max,C,True,5
0,1,1.0,max,B,False,3
1,2,0.25,low,A,True,5
0,5,0.0,max,A,True,5
0,4,0.25,high,A,True,5
1,2,0.5,low,C,True,5
1,4,0.5,high,A,False,5
0,5,0.5,high,B,False,5
1,5,0.0,low,A,False,5
1,4,0.0,high,B,False,5
0,4,0.5,low,C,False,5
0,1,0.0,max,C,True,2
1,3,0.5,high,B,True,5
0,1,0.0,low,A,False,4
1,5,0.75,low,B,False,5
0,3,0.5,high,B,True,5
1,4,1.0,max,A,True,5
1,5,0.75,max,A,False,5
1,2,0.75,mid,B,True,5
0,2,0.0,max,A,False,3
0,4,0.25,mid,B,False,5
1,4,0.5,max,A,True,5
0,4,0.75,max,A,True,5
1,5,1.0,low,A,False,5
