Condition_ID,x1_CeilingHeight,x2_GridModule,x3_OuterFurniture,x4_VisualBoundary,x5_PhysicalBoundary,x6_InnerFurniture
198,4.0,8.0,Rotated,Color,Open,Chaos
83,2.8,8.0,Rotated,Translucent,Open,Rotated
296,8.5,8.0,Rotated,Translucent,Closed,Rotated
254,8.5,6.5,Chaos,Solid,Closed,Rotated
48,2.8,6.5,Chaos,Translucent,Open,Chaos
138,4.0,6.5,Rotated,Translucent,Open,Chaos
90,2.8,8.0,Rotated,Color,Open,Chaos
258,8.5,6.5,Chaos,Solid,Open,Chaos
80,2.8,8.0,Rotated,Translucent,Closed,Rotated
12,2.8,6.5,Strict,Translucent,Open,Chaos
15,2.8,6.5,Strict,Color,Closed,Chaos
193,4.0,8.0,Rotated,Color,Closed,Strict
16,2.8,6.5,Strict,Color,Open,Strict
201,4.0,8.0,Chaos,Solid,Closed,Chaos
46,2.8,6.5,Chaos,Translucent,Open,Strict
286,8.5,8.0,Strict,Color,Open,Strict
285,8.5,8.0,Strict,Color,Closed,Chaos
27,2.8,6.5,Rotated,Translucent,Closed,Chaos
53,2.8,6.5,Chaos,Color,Open,Rotated
271,8.5,8.0,Strict,Solid,Closed,Strict
120,4.0,6.5,Strict,Translucent,Open,Chaos
279,8.5,8.0,Strict,Translucent,Closed,Chaos
7,2.8,6.5,Strict,Translucent,Closed,Strict
243,8.5,6.5,Rotated,Translucent,Closed,Chaos
36,2.8,6.5,Rotated,Color,Open,Chaos
246,8.5,6.5,Rotated,Translucent,Open,Chaos
62,2.8,8.0,Strict,Translucent,Closed,Rotated
132,4.0,6.5,Rotated,Solid,Open,Chaos
256,8.5,6.5,Chaos,Solid,Open,Strict
131,4.0,6.5,Rotated,Solid,Open,Rotated
104,2.8,8.0,Chaos,Color,Closed,Rotated
94,2.8,8.0,Chaos,Solid,Open,Strict
1,2.8,6.5,Strict,Solid,Closed,Strict
159,4.0,6.5,Chaos,Color,Closed,Chaos
262,8.5,6.5,Chaos,Translucent,Open,Strict
107,2.8,8.0,Chaos,Color,Open,Rotated
269,8.5,6.5,Chaos,Color,Open,Rotated
144,4.0,6.5,Rotated,Color,Open,Chaos
234,8.5,6.5,Strict,Color,Open,Chaos
86,2.8,8.0,Rotated,Color,Closed,Rotated
302,8.5,8.0,Rotated,Color,Closed,Rotated
116,4.0,6.5,Strict,Translucent,Closed,Rotated
223,8.5,6.5,Strict,Translucent,Closed,Strict
310,8.5,8.0,Chaos,Solid,Open,Strict
145,4.0,6.5,Chaos,Solid,Closed,Strict
47,2.8,6.5,Chaos,Translucent,Open,Rotated
135,4.0,6.5,Rotated,Translucent,Closed,Chaos
54,2.8,6.5,Chaos,Color,Open,Chaos
304,8.5,8.0,Rotated,Color,Open,Strict
35,2.8,6.5,Rotated,Color,Open,Rotated
189,4.0,8.0,Rotated,Translucent,Closed,Chaos
235,8.5,6.5,Rotated,Solid,Closed,Strict
11,2.8,6.5,Strict,Translucent,Open,Rotated
30,2.8,6.5,Rotated,Translucent,Open,Chaos
158,4.0,6.5,Chaos,Color,Closed,Rotated
81,2.8,8.0,Rotated,Translucent,Closed,Chaos
126,4.0,6.5,Strict,Color,Open,Chaos
23,2.8,6.5,Rotated,Solid,Open,Rotated
137,4.0,6.5,Rotated,Translucent,Open,Rotated
197,4.0,8.0,Rotated,Color,Open,Rotated
68,2.8,8.0,Strict,Color,Closed,Rotated
191,4.0,8.0,Rotated,Translucent,Open,Rotated
277,8.5,8.0,Strict,Translucent,Closed,Strict
247,8.5,6.5,Rotated,Color,Closed,Strict
322,8.5,8.0,Chaos,Color,Open,Strict
270,8.5,6.5,Chaos,Color,Open,Chaos
63,2.8,8.0,Strict,Translucent,Closed,Chaos
136,4.0,6.5,Rotated,Translucent,Open,Strict
103,2.8,8.0,Chaos,Color,Closed,Strict
173,4.0,8.0,Strict,Translucent,Open,Rotated
55,2.8,8.0,Strict,Solid,Closed,Strict
108,2.8,8.0,Chaos,Color,Open,Chaos
57,2.8,8.0,Strict,Solid,Closed,Chaos
324,8.5,8.0,Chaos,Color,Open,Chaos
317,8.5,8.0,Chaos,Translucent,Open,Rotated
214,4.0,8.0,Chaos,Color,Open,Strict
9,2.8,6.5,Strict,Translucent,Closed,Chaos
260,8.5,6.5,Chaos,Translucent,Closed,Rotated
40,2.8,6.5,Chaos,Solid,Open,Strict
118,4.0,6.5,Strict,Translucent,Open,Strict
181,4.0,8.0,Rotated,Solid,Closed,Strict
52,2.8,6.5,Chaos,Color,Open,Strict
177,4.0,8.0,Strict,Color,Closed,Chaos
32,2.8,6.5,Rotated,Color,Closed,Rotated
314,8.5,8.0,Chaos,Translucent,Closed,Rotated
264,8.5,6.5,Chaos,Translucent,Open,Chaos
3,2.8,6.5,Strict,Solid,Closed,Chaos
