subject,x1_CeilingHeight,x2_GridModule,x3_OuterFurniture,x4_VisualBoundary,x5_PhysicalBoundary,x6_InnerFurniture,y
subject_1,2.8,6.5,Strict,Color,Open,Chaos,3
subject_1,4.0,8.0,Strict,Solid,Closed,Strict,5
subject_1,8.5,8.0,Chaos,Solid,Closed,Strict,5
subject_1,8.5,8.0,Chaos,Color,Closed,Rotated,5
subject_1,8.5,6.5,Rotated,Translucent,Closed,Rotated,5
subject_1,2.8,6.5,Strict,Color,Closed,Strict,4
subject_1,4.0,8.0,Chaos,Translucent,Open,Strict,5
subject_1,8.5,6.5,Rotated,Translucent,Open,Strict,5
subject_1,2.8,8.0,Rotated,Translucent,Closed,Chaos,5
subject_1,8.5,8.0,Chaos,Color,Open,Chaos,5
subject_1,4.0,6.5,Chaos,Color,Closed,Chaos,5
subject_1,8.5,8.0,Strict,Translucent,Closed,Strict,5
subject_1,8.5,6.5,Chaos,Solid,Open,Strict,5
subject_1,8.5,8.0,Strict,Color,Closed,Rotated,5
subject_1,8.5,6.5,Rotated,Translucent,Open,Rotated,5
subject_1,4.0,6.5,Strict,Translucent,Closed,Rotated,5
subject_1,2.8,6.5,Strict,Translucent,Closed,Strict,5
subject_1,4.0,6.5,Rotated,Translucent,Open,Rotated,5
subject_1,4.0,8.0,Chaos,Color,Closed,Strict,5
subject_1,4.0,6.5,Strict,Color,Closed,Strict,5
subject_1,8.5,8.0,Rotated,Translucent,Closed,Rotated,5
subject_1,8.5,6.5,Strict,Solid,Open,Strict,5
subject_1,4.0,6.5,Strict,Color,Closed,Chaos,5
subject_1,2.8,6.5,Strict,Solid,Closed,Strict,5
subject_1,2.8,8.0,Strict,Color,Closed,Chaos,5
subject_2,4.0,8.0,Rotated,Color,Open,Rotated,5
subject_2,4.0,6.5,Rotated,Translucent,Open,Rotated,5
subject_2,8.5,8.0,Rotated,Translucent,Open,Chaos,5
subject_2,8.5,8.0,Chaos,Color,Open,Chaos,5
subject_2,2.8,8.0,Strict,Color,Closed,Chaos,5
subject_2,8.5,8.0,Chaos,Solid,Closed,Strict,5
subject_2,2.8,6.5,Rotated,Color,Open,Strict,3
subject_2,8.5,8.0,Chaos,Color,Closed,Strict,5
subject_2,8.5,8.0,Rotated,Translucent,Open,Strict,5
subject_2,2.8,6.5,Rotated,Translucent,Open,Rotated,5
subject_2,8.5,8.0,Chaos,Solid,Open,Rotated,5
subject_2,4.0,8.0,Rotated,Solid,Closed,Chaos,5
subject_2,2.8,6.5,Strict,Color,Open,Chaos,3
subject_2,8.5,6.5,Chaos,Translucent,Closed,Chaos,5
subject_2,8.5,6.5,Rotated,Translucent,Open,Rotated,5
subject_2,2.8,8.0,Rotated,Color,Closed,Rotated,5
subject_2,2.8,8.0,Rotated,Solid,Closed,Rotated,5
subject_2,4.0,6.5,Chaos,Translucent,Open,Strict,5
subject_2,4.0,8.0,Chaos,Solid,Open,Strict,5
subject_2,2.8,6.5,Strict,Solid,Closed,Strict,5
subject_2,8.5,6.5,Chaos,Color,Open,Strict,5
subject_2,4.0,6.5,Strict,Translucent,Closed,Strict,5
subject_2,4.0,6.5,Strict,Solid,Open,Chaos,5
subject_2,8.5,6.5,Chaos,Solid,Open,Strict,5
subject_2,8.5,8.0,Rotated,Translucent,Closed,Chaos,5
subject_3,4.0,6.5,Chaos,Solid,Closed,Chaos,5
subject_3,2.8,8.0,Strict,Solid,Open,Rotated,5
subject_3,8.5,6.5,Chaos,Translucent,Open,Rotated,5
subject_3,4.0,6.5,Rotated,Color,Closed,Strict,5
subject_3,8.5,8.0,Rotated,Solid,Open,Chaos,5
subject_3,2.8,6.5,Chaos,Translucent,Open,Chaos,5
subject_3,2.8,8.0,Chaos,Solid,Closed,Strict,5
subject_3,4.0,8.0,Strict,Color,Closed,Chaos,5
subject_3,4.0,6.5,Rotated,Translucent,Open,Rotated,5
subject_3,8.5,6.5,Chaos,Translucent,Open,Strict,5
subject_3,4.0,8.0,Rotated,Solid,Open,Rotated,5
subject_3,8.5,6.5,Rotated,Translucent,Open,Rotated,5
subject_3,8.5,8.0,Chaos,Translucent,Closed,Chaos,5
subject_3,2.8,6.5,Strict,Color,Open,Chaos,3
subject_3,8.5,8.0,Rotated,Color,Open,Strict,5
