x1_CeilingHeight,x2_GridModule,x3_OuterFurniture,x4_VisualBoundary,x5_PhysicalBoundary,x6_InnerFurniture
2.8,8.0,Rotated,Translucent,Open,Rotated
2.8,8.0,Chaos,Solid,Open,Strict
8.5,6.5,Rotated,Solid,Closed,Chaos
8.5,8.0,Chaos,Solid,Closed,Strict
8.5,6.5,Chaos,Solid,Closed,Chaos
4.0,8.0,Strict,Solid,Closed,Strict
4.0,6.5,Rotated,Color,Open,Chaos
8.5,6.5,Rotated,Translucent,Open,Rotated
4.0,8.0,Rotated,Color,Open,Strict
8.5,6.5,Rotated,Color,Open,Chaos
4.0,8.0,Rotated,Translucent,Closed,Strict
2.8,6.5,Strict,Color,Open,Chaos
2.8,6.5,Rotated,Translucent,Open,Chaos
8.5,8.0,Strict,Solid,Open,Chaos
2.8,6.5,Chaos,Translucent,Closed,Rotated
2.8,8.0,Rotated,Solid,Open,Strict
4.0,6.5,Rotated,Translucent,Open,Rotated
4.0,8.0,Strict,Translucent,Open,Rotated
2.8,8.0,Chaos,Translucent,Closed,Rotated
2.8,6.5,Chaos,Translucent,Open,Chaos
4.0,8.0,Rotated,Translucent,Open,Strict
8.5,8.0,Strict,Translucent,Closed,Strict
8.5,8.0,Chaos,Color,Open,Chaos
2.8,6.5,Strict,Translucent,Closed,Strict
2.8,8.0,Strict,Color,Closed,Chaos
8.5,6.5,Rotated,Color,Closed,Strict
2.8,6.5,Strict,Translucent,Open,Rotated
2.8,6.5,Strict,Solid,Closed,Strict
8.5,6.5,Chaos,Solid,Open,Strict
2.8,8.0,Chaos,Solid,Closed,Chaos
