Condition_ID,x1_CeilingHeight,x2_GridModule,x3_OuterFurniture,x4_VisualBoundary,x5_PhysicalBoundary,x6_InnerFurniture
54,2.8,6.5,Chaos,Color,Open,Chaos
162,4.0,6.5,Chaos,Color,Open,Chaos
271,8.5,8.0,Strict,Solid,Closed,Strict
186,4.0,8.0,Rotated,Solid,Open,Chaos
148,4.0,6.5,Chaos,Solid,Open,Strict
304,8.5,8.0,Rotated,Color,Open,Strict
5,2.8,6.5,Strict,Solid,Open,Rotated
175,4.0,8.0,Strict,Color,Closed,Strict
237,8.5,6.5,Rotated,Solid,Closed,Chaos
324,8.5,8.0,Chaos,Color,Open,Chaos
226,8.5,6.5,Strict,Translucent,Open,Strict
8,2.8,6.5,Strict,Translucent,Closed,Rotated
177,4.0,8.0,Strict,Color,Closed,Chaos
220,8.5,6.5,Strict,Solid,Open,Strict
83,2.8,8.0,Rotated,Translucent,Open,Rotated
172,4.0,8.0,Strict,Translucent,Open,Strict
316,8.5,8.0,Chaos,Translucent,Open,Strict
137,4.0,6.5,Rotated,Translucent,Open,Rotated
283,8.5,8.0,Strict,Color,Closed,Strict
29,2.8,6.5,Rotated,Translucent,Open,Rotated
222,8.5,6.5,Strict,Solid,Open,Chaos
24,2.8,6.5,Rotated,Solid,Open,Chaos
138,4.0,6.5,Rotated,Translucent,Open,Chaos
1,2.8,6.5,Strict,Solid,Closed,Strict
256,8.5,6.5,Chaos,Solid,Open,Strict
